ID,Male,Female,Ask Amount,Offered Equity,Valuation Requested,Deal,Verbal Uncertainty,Verbal Pos-Finance,Verbal Neg-Finance,Verbal Certainty,Verbal Pos-Happiness,Verbal Neg-Happiness,Verbal Pos-Sociability,Verbal Pos-Morality,Verbal Pos-Ability,Verbal Pos-Agency,Verbal Neg-Sociability,Verbal Neg-Morality,Verbal Neg-Ability,Verbal Neg-Agency,WPM,Word Count,Sentence Count,Face Angry,Face Disgust,Face Fear,Face Happy,Face Neutral,Face Sad,Face Surprise,Age,# Of Entrepreneurs,Ethnicity Asian,Ethnicity Black,Ethnicity Indian,Ethnicity Latino Hispanic,Ethnicity Middle Eastern,Ethnicity White,Min Pitch,Max Pitch,Mean Pitch,STD Pitch,Min Intensity,Max Intensity,Mean Intensity,STD Intensity,Jitter,Shimmer,HNR,Energy,Industry,Avg Velocity Left Hand X,STD Velocity Left Hand X,Avg Velocity Left Hand Y,STD Velocity Left Hand Y,Avg Velocity Right Hand X,STD Velocity Right Hand X,Avg Velocity Right Hand Y,STD Velocity Right Hand Y,Crossing Arms,Closed Fist,Open Palm,Pointing Up,Thumb Down,Thumb Up,Hand Distance,Left Hand Height,Right Hand Height,Open Pose
S14E02P0,0,0,250000,5,5000000,1,0,0,0,0,0.6418918919,0.08783783784,0.07482993197,0.006802721088,0.1768707483,0.006802721088,0.006802721088,0.04081632653,0.006802721088,0.006802721088,183.4916865,309,38,9.754356428,0.6000149184,15.61341875,27.65674898,20.40940189,24.79066177,1.175397783,30.90326885,2,1,0,0,0,0,1,95.94594066,459.3387648,189.2220839,69.10704426,41.35829131,62.48711967,58.16759362,4.705782428,0.02369444625,0.1256854199,7.071273176,0.002038672034,1,-2.3297486640232696e-05,0.11415333415948653,-8.669339666095727e-05,0.14804038718690452,-1.4021792219371155e-06,0.09690165387006457,-0.00011644707310538465,0.15298072391504597,0.1925373134328358,0.0029850746268656717,0.028358208955223882,0.0014925373134328358,0.0,0.007462686567164179,0.7489082969432315,0.8438177874186551,0.6838235294117647,0.3198992443324937
S14E02P2,1,0,100000,10,1000000,1,0,0,0,0,0.6538461538,0.09615384615,0,0.04,0.02,0.04,0.02,0.06,0,0,139.4324853,95,12,10.44895214,0.2735047335,14.19628183,31.03367329,22.02923897,19.45132256,2.567027069,34.96725441,2,0,0,0,0,0,1,101.3899683,333.1004819,169.0212389,47.00405098,41.19616689,62.307625,57.01687192,5.156989659,0.02499606765,0.1288049909,6.386768385,0.001172351818,3,-0.0012795509714068794,0.09479282794068114,7.581981745633044e-05,0.11329627582851576,0.0006221281082341211,0.08173552425408691,4.252565629554528e-05,0.10162397929028077,0.022641509433962263,0.0,0.022641509433962263,0.0,0.0,0.007547169811320755,0.5726495726495726,0.4345991561181435,0.5043478260869565,0.4930875576036866
S14E04P0,1,0,250000,5,5000000,1,0,0.01265822785,0.01898734177,0.006329113924,0.7911392405,0.1075949367,0.01923076923,0.04487179487,0.08974358974,0.01282051282,0,0.02564102564,0,0,198.6245483,284,23,4.702352992,0.1444619457,14.41465602,29.6326717,28.13034903,20.4398807,2.535628122,29.08562691,2,0,0,0,0,0,1,92.4459878,306.7787938,168.8242868,46.03573673,42.14146692,62.96408623,58.52592221,4.923764426,0.02523434869,0.1255981519,8.216359927,0.001191331537,4,-0.00014773271489871992,0.10685436373798733,0.00026078880093503495,0.07688431381198432,-0.000332148379634041,0.12981340360354754,0.0003533324299941393,0.07564335247496165,0.13086150490730644,0.0,0.010905125408942203,0.003271537622682661,0.0,0.05016357688113413,0.21465295629820053,0.6399082568807339,0.784688995215311,0.15037593984962405
S14E04P1,0,1,250000,5,5000000,0,0,0.03333333333,0,0,0.6333333333,0.1111111111,0.02247191011,0.03370786517,0.03370786517,0.02247191011,0.03370786517,0.06741573034,0,0,157.2297613,168,17,4.704754348,0.06629879354,17.66398127,21.94553011,28.60530307,23.56005441,3.45407857,28.89038263,2,0,0,0,0,0,1,122.1834231,374.3168172,215.5230902,50.7536648,39.0709219,62.72260775,57.9105508,5.564174005,0.01743328636,0.08593666456,9.420914629,0.001484147182,3,1.0795013079625013e-05,0.06599636003023654,0.0017108756893034734,0.07336597825776663,-0.0013653780457638048,0.05527841517395576,0.0015443162886362137,0.08974913487817146,0.05313092979127135,0.0,0.024667931688804556,0.0,0.0,0.04174573055028463,0.47368421052631576,0.8177874186550976,0.7923250564334086,0.4243119266055046
S14E04P3,1,0,500000,10,5000000,1,0,0.03448275862,0,0.008620689655,0.7068965517,0.1551724138,0.06086956522,0.01739130435,0.05217391304,0.0347826087,0,0.1043478261,0,0,135.1819757,208,23,12.04440829,0.1429102412,10.64549417,15.69437577,42.6519485,16.87743427,1.943429314,33.1554664,1,1,0,0,0,0,0,90.33082075,378.8249739,180.2275052,61.73014002,41.45486594,64.0840335,58.64505662,6.121969735,0.02706353928,0.1223687221,7.708252429,0.001282223864,1,-0.0006617297364105132,0.14285417595984445,-3.6967624598392925e-05,0.0905937971460196,-0.00021960278952868492,0.0904151066042832,-0.00011265239241828597,0.09092793016008975,0.27292340884573896,0.003236245954692557,0.0593311758360302,0.0010787486515641855,0.002157497303128371,0.015102481121898598,0.7028169014084507,0.45580808080808083,0.48817802503477054,0.6419400855920114
S14E05P1,0,0,250000,10,2500000,1,0,0.01666666667,0.008333333333,0,0.7083333333,0.06666666667,0.03389830508,0.02542372881,0.04237288136,0.01694915254,0.01694915254,0.01694915254,0,0,153.4695876,209,16,3.660849824,0.1981303116,9.284441154,48.33687953,17.38581537,19.89350361,1.240380819,30.20983607,2,0,1,0,0,0,0,83.8090949,315.5622995,160.1720195,53.51323807,42.24809744,63.37818748,58.60789124,5.320592822,0.02838130846,0.1202981764,8.134136087,0.002037309843,5,0.00031281768698225186,0.11416518302710431,-5.935169395512184e-05,0.11595733997180373,-9.428781123412954e-05,0.10083682341166664,0.00014136194284560346,0.11168379182511178,0.02903225806451613,0.0,0.011827956989247311,0.0,0.0,0.053763440860215055,0.6894923258559622,0.8352941176470589,0.8538083538083538,0.25735294117647056
S14E05P2,0,1,100000,20,500000,0,0,0.05263157895,0.01503759398,0.007518796992,0.6090225564,0.1578947368,0.05303030303,0.0303030303,0.07575757576,0.02272727273,0.007575757576,0.06818181818,0,0,143.0379747,226,31,3.430159961,0.1489758317,16.91302083,18.21641839,32.65820721,25.61479829,3.018420013,30.69777159,2,1,0,0,0,0,1,173.7852071,541.9997444,324.2217834,93.416508,40.18985897,63.32205246,58.65062825,5.036792495,0.01673094396,0.08825274564,11.86570558,0.001663893064,4,0.0005619044695133968,0.1305547896022522,0.0007200301071782621,0.14663991387789208,-0.00010849855644316003,0.1077778658154514,0.0008590720181884487,0.1360975655938423,0.07336956521739131,0.0,0.007246376811594203,0.0,0.0009057971014492754,0.014492753623188406,0.5195195195195195,0.8433862433862434,0.8304904051172708,0.26344086021505375
S14E05P3,0,1,200000,10,2000000,1,0,0,0,0,0.6585365854,0.09756097561,0,0,0.02469135802,0.02469135802,0.01234567901,0.06172839506,0,0,132.7838828,145,14,3.503507952,0.07295052519,12.56956379,32.03954647,28.97449866,21.11349021,1.726442843,33.97225077,2,0,0,0,0,0,1,176.5951605,373.1944087,250.9915207,39.62434676,40.58896633,62.82972054,58.4093731,5.297041842,0.01511818208,0.07947224563,11.13877769,0.001105338732,5,0.00036228723780957334,0.10974814892122942,0.00011586290218926273,0.11583381260063277,-5.198692138484392e-05,0.07234199065144999,0.0002200417866596527,0.11419017618367233,0.08080808080808081,0.0,0.010101010101010102,0.0,0.0,0.001443001443001443,0.4027072758037225,0.875219683655536,0.8293075684380032,0.29443447037701975
S14E06P3,0,0,185000,8,2312500,1,0,0.02222222222,0.01481481481,0,0.4814814815,0.1851851852,0.0223880597,0.007462686567,0.05223880597,0.03731343284,0.01492537313,0.0671641791,0,0,136.516682,223,31,8.567070012,2.078894294,6.664774184,43.58512299,18.75187505,19.91937995,0.4328839665,32.67707855,2,0,1,0,0,0,0,104.7077696,391.2576713,223.5882249,60.77771472,36.54915745,63.69428938,59.33881375,5.619241534,0.01981352553,0.1041176359,9.591572012,0.005940674281,3,0.0004448777763173015,0.11752960294647544,0.00014823791570961608,0.1499916405142761,-0.00030863651772961053,0.08701126690648484,0.00013341766316443226,0.15787619457308114,0.04878048780487805,0.003902439024390244,0.003902439024390244,0.05170731707317073,0.0,0.03024390243902439,0.4915433403805497,0.7800224466891134,0.6941176470588235,0.2708333333333333
S14E07P0,0,0,300000,5,6000000,1,0,0.0303030303,0.0101010101,0.0101010101,0.5858585859,0.1111111111,0,0.01020408163,0.0306122449,0.0306122449,0.01020408163,0.05102040816,0,0,152.0775623,183,12,7.381729084,0.6373489062,7.496099068,38.19859612,29.42644791,16.17887697,0.6809026345,29.80935754,2,0,0,0,1,0,1,95.24281166,412.941953,203.0065105,77.7577572,40.62480083,62.90345142,58.39986681,5.232607801,0.03587338954,0.1522204388,6.828694106,0.001043682811,3,0.0007044644213379988,0.09647310310020428,0.00048258731777781576,0.1257830985510754,-0.0004523589545333218,0.08859614438144114,0.0005678796019707463,0.11257712253727495,0.06880733944954129,0.00764525993883792,0.009174311926605505,0.0030581039755351682,0.0,0.03211009174311927,0.4959349593495935,0.865979381443299,0.8416370106761566,0.3644067796610169
